CONTENT-SHARED-NAV-PIACI-TRENDEK	Fő navigáció — Piaci trendek	Piaci trendek	Minden oldal — fejléc navigáció	Statikus szöveg, a kezdőoldalra (index.html#trends) mutató nav-link felirata.
CONTENT-SHARED-NAV-BEREK	Fő navigáció — Bérek	Bérek	Minden oldal — fejléc navigáció	Statikus szöveg, a berezes/index.html oldalra mutató nav-link felirata.
CONTENT-SHARED-NAV-SAP	Fő navigáció — SAP	SAP	Minden oldal — fejléc navigáció	Statikus szöveg, a sap/index.html oldalra mutató nav-link felirata.
CONTENT-SHARED-NAV-EXPERT-POOL	Fő navigáció — Expert Pool	Expert Pool	Minden oldal — fejléc navigáció	Statikus szöveg, az expert-pool/index.html oldalra mutató nav-link felirata.
CONTENT-SHARED-NAV-ESETTANULMANYOK	Fő navigáció — Esettanulmányok	Esettanulmányok	Minden oldal — fejléc navigáció	Statikus szöveg, az esettanulmanyok/index.html oldalra mutató nav-link felirata.
CONTENT-SHARED-CTA-AJANLATKERES	Fejléc gomb — Ajánlatkérés	Ajánlatkérés	Minden oldal — fejléc, jobb felül	Statikus gombfelirat; a cél a kapcsolat/index.html (kivéve regisztracio/index.html, ahol jelenleg még a régi külső idbc.hu/ajanlatkeres/ cél maradt — eltérés, javasolt egységesíteni).
CONTENT-SHARED-CTA-KIJELENTKEZES	Fejléc gomb — Kijelentkezés	Kijelentkezés	Minden oldal — fejléc, jobb felül	Statikus gombfelirat, inaktív (nincs backend, a prototípusban nem működik).
CONTENT-SHARED-EN-TOGGLE	Fejléc — EN nyelvváltó	EN	Minden oldal — fejléc	Inaktív kapcsoló; angol nyelvű változat egyelőre nincs (title tooltip: „Angol nyelvű változat egyelőre nem érhető el”).
CONTENT-SHARED-BRAND	Fejléc — márkanév	IDBC Salary Guide	Minden oldal — fejléc, bal felül	Statikus szöveg/logó felirat.
CONTENT-SHARED-FOOTER-PHONE	Lábléc — telefonszám	+36 30 479 0090	Minden oldal — lábléc	Statikus kontakt adat, tel: link. Típus: telefonszám.
CONTENT-SHARED-FOOTER-EMAIL	Lábléc — e-mail	contact@idbc.hu	Minden oldal — lábléc	Statikus kontakt adat, mailto: link. Típus: e-mail cím.
CONTENT-SHARED-FOOTER-LEGAL-1	Lábléc — jogi link 1	Panaszszabályzat	Minden oldal — lábléc	Statikus link felirat; a cél (href=„#”) jelenleg inaktív, a valódi dokumentum még nincs csatolva.
CONTENT-SHARED-FOOTER-LEGAL-2	Lábléc — jogi link 2	Adatkezelési tájékoztató	Minden oldal — lábléc	Statikus link felirat; a cél (href=„#”) jelenleg inaktív, a valódi dokumentum még nincs csatolva.
CONTENT-HOME-HERO-EYEBROW	Címlap hero — felirat (eyebrow)	IDBC Salary Guide	Kezdőoldal / Piaci trendek — hero	Statikus rövid szöveg a hero címe fölött.
CONTENT-HOME-HERO-TITLE	Címlap hero — cím (H1)	Talent Market & Salary Guide 2026	Kezdőoldal / Piaci trendek — hero	Statikus főcím.
CONTENT-HOME-HERO-LEAD	Címlap hero — bevezető szöveg	Interaktív munkaerőpiaci betekintés munkavállalói és munkáltatói oldalról, valós bérsávokkal és szűrhető kutatási adatokkal.	Kezdőoldal / Piaci trendek — hero	Statikus, szabadon szerkeszthető bekezdés.
CONTENT-HOME-TRENDS-EYEBROW	Piaci trendek szekció — felirat	IDBC Salary Guide	Kezdőoldal — Munkaerő-piaci trendek szekció	Statikus rövid szöveg.
CONTENT-HOME-TRENDS-TITLE	Piaci trendek szekció — cím (H2)	Munkaerő-piaci trendek	Kezdőoldal — Munkaerő-piaci trendek szekció	Statikus alcím.
CONTENT-HOME-AREA-PICKER-LABEL	Területválasztó — magyarázó szöveg	Válassz területet a részletes összefoglalóhoz és a terület kutatási eredményeihez:	Kezdőoldal — területi csempék fölött	Statikus szöveg.
CONTENT-HOME-FILTER-BLOCK-LABEL	Szűrő blokk — magyarázó szöveg	Vagy vizsgáld preferenciáid szerint a kutatási adatainkat!	Kezdőoldal — a területi csempék és a szegmens/téma szűrő között	Statikus szöveg (2026-09-22 klens kérésre cserélve).
CONTENT-HOME-SPLIT-EYEBROW	Kétcsempés CTA — felirat	Bérezés és Expert Pool	Kezdőoldal — a trendek szekció alatti két csempe fölött	Statikus rövid szöveg.
CONTENT-HOME-SPLIT-TITLE	Kétcsempés CTA — cím	Bérsávok és szakértői pool saját oldalon	Kezdőoldal — a trendek szekció alatti két csempe fölött	Statikus alcím.
CONTENT-HOME-SPLIT-CARD-BEREK	Csempe — Bérsávok	Bérsávok területenként →	Kezdőoldal — kétcsempés CTA	Statikus csempefelirat, a berezes/index.html oldalra mutat.
CONTENT-HOME-SPLIT-CARD-EXPERTPOOL	Csempe — Expert Pool	Elérhető szakértői pool →	Kezdőoldal — kétcsempés CTA	Statikus csempefelirat, az expert-pool/index.html oldalra mutat.
CONTENT-HOME-METHOD-TITLE	Módszertani megjegyzés — cím	Módszertani megjegyzés	Kezdőoldal — az oldal alján	Statikus alcím.
CONTENT-HOME-AREA-TILE-BSC	Területi csempe — Business Service Center (BSC)	Business Service Center (BSC) →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=bsc oldalra mutat.
CONTENT-HOME-AREA-TILE-PENZUGY-ES-SZAMVITEL	Területi csempe — Pénzügy, Számvitel	Pénzügy, Számvitel →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=penzugy-es-szamvitel oldalra mutat.
CONTENT-HOME-AREA-TILE-HR	Területi csempe — HR	HR →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=hr oldalra mutat.
CONTENT-HOME-AREA-TILE-SALES-MARKETING	Területi csempe — Sales, Marketing	Sales, Marketing →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=sales-marketing oldalra mutat.
CONTENT-HOME-AREA-TILE-OFFICE-SUPPORT-UGYFELSZOLGALAT	Területi csempe — Ügyfélszolgálat, Adminisztráció	Ügyfélszolgálat, Adminisztráció →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=office-support-ugyfelszolgalat oldalra mutat.
CONTENT-HOME-AREA-TILE-LOGISZTIKA-ES-SZALLITAS	Területi csempe — Logisztika, Szállítás	Logisztika, Szállítás →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=logisztika-es-szallitas oldalra mutat.
CONTENT-HOME-AREA-TILE-GYARTAS-TERMELES-MERNOKSEG	Területi csempe — Gyártás, Termelés, Mérnökség	Gyártás, Termelés, Mérnökség →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=gyartas-termeles-mernokseg oldalra mutat.
CONTENT-HOME-AREA-TILE-EPITOIPAR-INGATLAN	Területi csempe — Építőipar, Ingatlan	Építőipar, Ingatlan →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=epitoipar-ingatlan oldalra mutat.
CONTENT-HOME-AREA-TILE-PHARMA-LIFE-SCIENCES	Területi csempe — Pharma, Life Sciences	Pharma, Life Sciences →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=pharma-life-sciences oldalra mutat.
CONTENT-HOME-AREA-TILE-IT	Területi csempe — IT	IT →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=it oldalra mutat.
CONTENT-HOME-AREA-TILE-IT-CONTRACTING	Területi csempe — IT Contracting	IT Contracting →	Kezdőoldal — területi csempék rácsa	Statikus csempefelirat, a terulet/index.html?terulet=it-contracting oldalra mutat.
CONTENT-BEREK-HERO-EYEBROW	Bérek hero — felirat	IDBC Salary Guide	Bérek — hero	Statikus rövid szöveg.
CONTENT-BEREK-HERO-TITLE	Bérek hero — cím (H1)	Bérsávok területenként	Bérek — hero	Statikus főcím.
CONTENT-BEREK-HERO-LEAD	Bérek hero — bevezető szöveg	Pozíció-bérsávok valós piaci adatok alapján — területenként, tapasztalati szint szerinti bontásban, TOP3 kiemelt pozíciókkal.	Bérek — hero	Statikus bekezdés.
CONTENT-BEREK-PILLS-EYEBROW	Bérek szekció — felirat	Bérezés	Bérek — tartalom eleje	Statikus rövid szöveg.
CONTENT-BEREK-SECTION-TITLE	Bérek szekció — cím (H2)	Bérsávok területenként	Bérek — tartalom eleje	Statikus alcím.
CONTENT-BEREK-TABLE-TITLE	További bérek — cím	További bérek	Bérek — a TOP3 blokk alatt	Statikus alcím.
CONTENT-BEREK-TABLE-NOTE	További bérek — megjegyzés	A bemutatott, 2026-os valós piaci adatokon alapuló bérsávok egész Magyarországra vonatkozó, havi bruttó forintösszegek.	Bérek — a További bérek cím alatt	Statikus szöveg.
