SAP-TH-ATLAGOS-RANGE	Táblázat fejléc	Átlagos range	SAP — »SAP megoldások bemutatása« rész, »TOP 3 pozíció« rész	Szabad szöveg.
SAP-TH-JUTTATASI-MEGJEGYZES	Táblázat fejléc	Juttatási megjegyzés	SAP — »SAP megoldások bemutatása« rész, »TOP 3 pozíció« rész	Szabad szöveg.
SAP-JS-CHART-EMPTY	Üzenet, ha a grafikon üres	Nincs kiemelt (TOP3) SAP pozíció.	SAP — TOP 3 grafikon helyén	Szabad szöveg.
SAP-JS-LESS	Összecsukó gomb felirata	Kevesebb	SAP — Toborzási trendek, kinyitás után	Szabad szöveg.
#3950	━━━━ SAP MEGOLDÁSOK — kategóriák és tételek ━━━━			
SAPPROD-CAT1-NAME	1. kategória neve	S/4 HANA transzformációs szolgáltatások	SAP — SAP megoldások bemutatása, csempe címe	Szabad szöveg.
SAPPROD-CAT1-ITEM1	1. kategória — 1. tétel	S/4 HANA Rise bevezetések	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT1-ITEM2	1. kategória — 2. tétel	SAP ECC – SAP S/4 átállás és konverzió	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT1-ITEM3	1. kategória — 3. tétel	Brownfield és bluefield megközelítések	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT1-ITEM4	1. kategória — 4. tétel	SAP Carve-out	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT1-ITEM5	1. kategória — 5. tétel	Cloud és hybrid cloud megoldások	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT2-NAME	2. kategória neve	Tradicionális SAP funkcionális tanácsadás és fejlesztés	SAP — SAP megoldások bemutatása, csempe címe	Szabad szöveg.
SAPPROD-CAT2-ITEM1	2. kategória — 1. tétel	Modul szakértői tudás (pénzügy, logisztika, értékesítés, szerviz, gyártás, karbantartás)	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT2-ITEM2	2. kategória — 2. tétel	End-to-End folyamati megoldások (Order to Cash, Purchase to Pay)	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT2-ITEM3	2. kategória — 3. tétel	SAP SCM	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT2-ITEM4	2. kategória — 4. tétel	SAP eWM	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-NAME	3. kategória neve	Specializált SAP megoldásaink	SAP — SAP megoldások bemutatása, csempe címe	Szabad szöveg.
SAPPROD-CAT3-ITEM1	3. kategória — 1. tétel	SAP SuccessFactors, HCM és SmartRecruiters	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-ITEM2	3. kategória — 2. tétel	SAP Signavio	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-ITEM3	3. kategória — 3. tétel	SAP Business Technology Platform (BTP)	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-ITEM4	3. kategória — 4. tétel	SAP Invoice Management	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-ITEM5	3. kategória — 5. tétel	xECM for SAP és SAP DMS megoldások	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT3-ITEM6	3. kategória — 6. tétel	SAP Archiválás	SAP — SAP megoldások bemutatása, csempe felsorolása	Szabad szöveg; ha üresre állítod, a tétel eltűnik.
SAPPROD-CAT4-NAME	4. kategória neve	SAP Cloud ERP, Public Edition	SAP — SAP megoldások bemutatása, csempe címe	Szabad szöveg.
